"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.31","482","481","2259","39721",NA,"Neisseria","genus",NA
"ubiome_bacteriacounts.32","135095","29465","1752","30807",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.33","324843","135095","1750","30771",NA,"Veillonella sp. oral clone VeillD5","species",NA
"ubiome_bacteriacounts.34","203490","32066","1256","22085",NA,"Fusobacteriia","class",NA
"ubiome_bacteriacounts.35","32066","2","1256","22085",NA,"Fusobacteria","phylum",NA
"ubiome_bacteriacounts.36","203491","203490","1256","22085",NA,"Fusobacteriales","order",NA
"ubiome_bacteriacounts.37","117563","186828","1240","21804",NA,"Granulicatella","genus",NA
"ubiome_bacteriacounts.38","186828","186826","1240","21804",NA,"Carnobacteriaceae","family",NA
"ubiome_bacteriacounts.39","32067","1129771","1229","21610",NA,"Leptotrichia","genus",NA
"ubiome_bacteriacounts.40","1129771","203491","1229","21610",NA,"Leptotrichiaceae","family",NA
"ubiome_bacteriacounts.41","484","482","1165","20485",NA,"Neisseria flavescens","species",NA
"ubiome_bacteriacounts.42","1760","201174","882","15509",NA,"Actinobacteria","class",NA
"ubiome_bacteriacounts.43","201174","2","882","15509",NA,"Actinobacteria","phylum","73C7D7"
"ubiome_bacteriacounts.44","2037","85003","875","15386",NA,"Actinomycetales","order",NA
"ubiome_bacteriacounts.45","85003","1760","875","15386",NA,"Actinobacteridae","subclass",NA
"ubiome_bacteriacounts.46","28132","838","772","13575",NA,"Prevotella melaninogenica","species",NA
"ubiome_bacteriacounts.47","117743","976","675","11869",NA,"Flavobacteriia","class",NA
"ubiome_bacteriacounts.48","49546","200644","675","11869",NA,"Flavobacteriaceae","family",NA
"ubiome_bacteriacounts.49","200644","117743","675","11869",NA,"Flavobacteriales","order",NA
"ubiome_bacteriacounts.50","28133","838","619","10884",NA,"Prevotella nigrescens","species",NA
"ubiome_bacteriacounts.51","671229","29465","617","10849",NA,"Veillonella sp. oral taxon 780","species",NA
"ubiome_bacteriacounts.52","724","712","613","10779",NA,"Haemophilus","genus",NA
"ubiome_bacteriacounts.53","1379","1378","571","10040",NA,"Gemella haemolysans","species",NA
"ubiome_bacteriacounts.54","135058","32067","561","9864",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.55","1016","49546","554","9741",NA,"Capnocytophaga","genus",NA
"ubiome_bacteriacounts.56","28135","838","536","9425",NA,"Prevotella oris","species",NA
"ubiome_bacteriacounts.57","249188","724","486","8546",NA,"Haemophilus pittmaniae","species",NA
"ubiome_bacteriacounts.58","40542","32067","460","8088",NA,"Leptotrichia buccalis","species",NA
"ubiome_bacteriacounts.59","134245","836","438","7702",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.60","171551","171549","438","7702",NA,"Porphyromonadaceae","family",NA
